0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "OPTIONS /server/api/core/items/fc499157-ba7f-4719-8037-59d9c9f92f15/bundles?size=9999 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/items/fc499157-ba7f-4719-8037-59d9c9f92f15/bundles?size=9999 HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "OPTIONS /server/api/core/bundles/20b18876-083b-4b88-bfcf-a9937e50a8c2/bitstreams?page=0&size=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/bundles/20b18876-083b-4b88-bfcf-a9937e50a8c2/bitstreams?page=0&size=5 HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/bundles/20b18876-083b-4b88-bfcf-a9937e50a8c2/bitstreams?page=0&size=5 HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "OPTIONS /server/api/core/items/88d13027-f17b-4dca-8e52-ecc9899ccebe/bundles?size=9999 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/items/88d13027-f17b-4dca-8e52-ecc9899ccebe/bundles?size=9999 HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "OPTIONS /server/api/core/bundles/3ed4f40c-0c47-48d6-9174-281a75405519/bitstreams?page=0&size=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/bundles/3ed4f40c-0c47-48d6-9174-281a75405519/bitstreams?page=0&size=5 HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/bundles/3ed4f40c-0c47-48d6-9174-281a75405519/bitstreams?page=0&size=5 HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "OPTIONS /server/api/core/items/b7b09ece-79d7-47d4-8a55-25d3d7bf0ff9/bundles?size=9999 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/items/b7b09ece-79d7-47d4-8a55-25d3d7bf0ff9/bundles?size=9999 HTTP/1.1" 200 1318
