0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/discover/search/objects?sort=dc.title,ASC&page=0&size=10&dsoType=COMMUNITY HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 2332
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 2332
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 2332
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 2332
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:21 +0530] "GET /server/api/discover/search/objects?sort=dc.title,ASC&page=0&size=10&dsoType=COMMUNITY HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:28 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:28 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:28 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 2332
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:37 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:37 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:37 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 2332
