0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:17:45 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:17:45 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09 HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:17:45 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 14259
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:17:45 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 14259
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/discover/search/objects?configuration=default&sort=score%2CDESC&page=0&size=10&dsoType=item&scope=undefined&embed=thumbnail&embed=item/thumbnail HTTP/1.1" 200 54437
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/discover/facets/has_content_in_original_bundle?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/discover/facets/author?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/discover/facets/entityType?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/discover/facets/subject?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/discover/facets/has_content_in_original_bundle?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 1288
